id,name,latitude,longitude,type,color
89,Guillaume LINARD-OSORIO,48.3849647,2.9557006,artist,#3D348B
90,Jean-Luc MOULÈNE,49.2577886,4.031926,artist,#3D348B
91,Antoni MUNTADAS,41.3828939,2.1774322,artist,#3D348B
92,Guillaume PINARD,47.2186371,-1.5541362,artist,#3D348B
93,Jérôme SAINT-LOUBERT BIÉ,48.584614,7.7507127,artist,#3D348B
94,Larry ACHIAMPONG,51.5074456,-0.1277653,artist,#F7B801
95,Paul BADIÉ,11.568271,104.9224426,artist,#F7B801
96,Bernard BLOUCH,48.3975444,-4.2689684,artist,#F7B801
97,Andrea BLUM,40.7127281,-74.0060152,artist,#F7B801
98,Patrick BOULOT,43.4945306,-0.4981465,artist,#F7B801
99,Ronan BOUROULLEC,47.9960325,-4.1024782,artist,#F7B801
100,Edouardo CONSTANTINO,39.4071857,-9.1346004,artist,#F7B801
101,Jocelyn COTTENCIN,48.8588897,2.320041,artist,#F7B801
102,Louis FREHRING,48.584614,7.7507127,artist,#F7B801
103,Pierre GARNIER,45.7578137,4.8320114,artist,#F7B801
104,Piero GILARDI,45.0677551,7.6824892,artist,#F7B801
105,Bruce et Catherine GOULD,48.2463989,-4.4894463,artist,#F7B801
106,Geoffrey HENDRICKS,39.613321,-105.016649,artist,#F7B801
107,Pierre-Alain JAOUËN,49.255147,-0.8606317,artist,#F7B801
108,Xavier KREBS,47.8692882,-3.5505644,artist,#F7B801
109,Jean-Marie LANCELOT,48.8588897,2.320041,artist,#F7B801
110,Louise LAWLER,40.9381544,-73.8320784,artist,#F7B801
111,Jos LE CORRE,47.8758768,-3.0199362,artist,#F7B801
112,Michel LE GENTIL,43.1257311,5.9304919,artist,#F7B801
113,Anne LECOMTE,48.5141134,-2.7603283,artist,#F7B801
114,Mehryl LEVISSE,49.7735712,4.7206939,artist,#F7B801
115,Antoine LUCAS,47.9960325,-4.1024782,artist,#F7B801
116,George MACIUNAS,54.8982139,23.9044817,artist,#F7B801
117,Erwan MAHÉO,48.5141134,-2.7603283,artist,#F7B801
118,Nicolas MILHÉ,44.841225,-0.5800364,artist,#F7B801
119,Francine MILLO,45.6754622,6.3925417,artist,#F7B801
120,Françoise QUATREVAUX,47.2733517,-2.2138905,artist,#F7B801
121,Isabelle RABAROT,47.2186371,-1.5541362,artist,#F7B801
122,Pascal RIVET,47.9960325,-4.1024782,artist,#F7B801
123,Gustave TIFFOCHE,47.2733517,-2.2138905,artist,#F7B801
124,Thomas TUDOUX,45.47197723388672,-0.15610620379447937,artist,#F7B801
125,Pierre et Maïté WALTER,48.5230359,-3.9374261,artist,#F7B801
126,Lawrence WEINER,40.7127281,-74.0060152,artist,#F7B801
127,Paul YVAIN,48.3905283,-4.4860088,artist,#F7B801
,,,,,
128,Hans-Peter FELDMANN,51.2254018,6.7763137,artist,#3D348B
129,GENERAL IDEA,43.6534817,-79.3839347,artist,#F7B801
130,Clément RODZIELSKI,43.9198279,2.1499425,artist,#3D348B
131,Enrico BAJ,45.4641943,9.1896346,artist,#F7B801
132,Nina BEIER,56.1496278,10.2134046,artist,#F7B801
133,"CHRISTO (Christo JAVACHEFF, dit)",42.9638895,25.2119538,artist,#F7B801
134,Hollis FRAMPTON,40.7980976,-81.9397733,artist,#F7B801
135,Isabell HEIMERDINGER,48.7784485,9.1800132,artist,#F7B801
136,Hella JONGERIUS,52.0811781,5.0363571,artist,#F7B801
137,Roy LICHTENSTEIN,40.7127281,-74.0060152,artist,#F7B801
138,Bruce NAUMAN,41.0799898,-85.1386015,artist,#F7B801
139,PANAMARENKO,51.2211097,4.3997081,artist,#F7B801
140,Lil PICARD,52.5170365,13.3888599,artist,#F7B801
141,Richard ARTSCHWAGER,38.8950368,-77.0365427,artist,#F35B04
142,Paul BERGTOLD,38.8950368,-77.0365427,artist,#F35B04
143,Daniel BUREN,48.8356649,2.240206,artist,#F35B04
144,Nicolas CALAS,46.5218269,6.6327025,artist,#F35B04
145,Rodney GRAHAM,49.0521162,-122.329479,artist,#F35B04
146,Lee LOZANO,40.735657,-74.1723667,artist,#F35B04
147,Angus MACLISE,41.1792695,-73.1887863,artist,#F35B04
149,Aurelie NEMOURS,48.8588897,2.320041,artist,#F35B04
150,Adrian NUTBEEM,51.5582734,0.0711669,artist,#F35B04
151,Claes OLDENBURG,59.3251172,18.0710935,artist,#F35B04
152,Roland PENROSE,51.5074456,-0.1277653,artist,#F35B04
153,Bernard A. PFRIEM,41.4996574,-81.6936772,artist,#F35B04
154,Claude RUTAULT,47.0616428,0.017897,artist,#F35B04
155,Paul STEINER,38.8950368,-77.0365427,artist,#F35B04
156,Hervé TÉLÉMAQUE,18.547327,-72.3395928,artist,#F35B04
157,"Bernar VENET (Bernard VENET, dit)",44.0933882,6.0100706,artist,#F35B04
158,Jan VERCRUYSSE,50.8868222,3.4323622,artist,#F35B04
159,Diane WAKOSKI,38.8950368,-77.0365427,artist,#F35B04
160,Hannah WEINER,41.8239891,-71.4128343,artist,#F35B04
161,La Monte YOUNG,39.962222,-95.971942,artist,#F35B04
162,Gilberto ZORIO,45.609264,8.05272,artist,#F35B04
,,,,,
163,François ARNAL,43.1378245,5.9834654,artist,#F7B801
164,Diego GIACOMETTI,41.9502477,12.7145608,artist,#F7B801
165,Mathieu LEHANNEUR,45.9366592,-0.9616399,artist,#F7B801
166,Benoît MAIRE,44.805615,-0.6308396,artist,#F7B801
167,Bruno MUNARI,45.4641943,9.1896346,artist,#F7B801
168,Frédéric RUYANT,48.8588897,2.320041,artist,#F7B801
169,Mathieu Kleyebe ABONNENC,48.8588897,2.320041,artist,#3D348B
170,Leonor ANTUNES,38.7077507,-9.1365919,artist,#3D348B
171,Cory ARCANGEL,42.8867166,-78.8783922,artist,#3D348B
172,Pierre ARDOUVIN,44.7282675,5.0236641,artist,#3D348B
173,Farah ATASSI,50.8465573,4.351697,artist,#3D348B
174,Elena BAJO,40.4167047,-3.7035825,artist,#3D348B
175,Robert BARRY,40.7127281,-74.0060152,artist,#3D348B
176,Eva BARTO,47.2186371,-1.5541362,artist,#3D348B
177,Erica BAUM,40.7127281,-74.0060152,artist,#3D348B
178,Thomas BAYRLE,52.5170365,13.3888599,artist,#3D348B
179,Neïl BELOUFA,48.8588897,2.320041,artist,#3D348B
180,Karina BISCH,48.8588897,2.320041,artist,#3D348B
181,Pierre BISMUTH,48.884683,2.2695658,artist,#3D348B
182,Katinka BOCK,50.1106444,8.6820917,artist,#3D348B
183,Melanie BONAJO,50.8775239,5.9815066,artist,#3D348B
184,Elvire BONDUELLE,48.8588897,2.320041,artist,#3D348B
185,Iñaki BONILLAS,19.4326296,-99.1331785,artist,#3D348B
186,Bruno BOTELLA,48.9960813,2.3796245,artist,#3D348B
187,Olaf BREUNING,47.6960491,8.634513,artist,#3D348B
188,Pablo BRONSTEIN,-34.6075682,-58.4370894,artist,#3D348B
189,Stefan BRÜGGEMANN,19.4326296,-99.1331785,artist,#3D348B
190,Stéphane CALAIS,50.291048,2.7772211,artist,#3D348B
191,Alejandro CESARCO,-34.9058916,-56.1913095,artist,#3D348B
192,Laurie CHARLES,50.8465573,4.351697,artist,#3D348B
193,Nina CHILDRESS,34.1476507,-118.1441551,artist,#3D348B
194,Jagna CIUCHTA,52.4341757,20.7061104,artist,#3D348B
195,Claire FONTAINE,48.8588897,2.320041,artist,#3D348B
196,Claude CLOSKY,48.8588897,2.320041,artist,#3D348B
197,Delphine COINDET,45.6754622,6.3925417,artist,#3D348B
198,Julien CREUZET,48.9385489,2.4631476,artist,#3D348B
199,Eric CROES,50.4793576,4.18563,artist,#3D348B
200,François CURLET,48.8588897,2.320041,artist,#3D348B
201,Pauline CURNIER JARDIN,43.6951468,5.5032671,artist,#3D348B
202,Denis DARZACQ,48.8588897,2.320041,artist,#3D348B
203,Lieven DE BOECK,50.8465573,4.351697,artist,#3D348B
204,"Jos DE GRUYTER, Harald THYS",,,artist,#3D348B
205,Philippe DECRAUZAT,46.5218269,6.6327025,artist,#3D348B
206,Koenraad DEDOBBELEER,50.8465573,4.351697,artist,#3D348B
207,Caroline DELIEUTRAZ,45.8992348,6.1288847,artist,#3D348B
208,DENICOLAI & PROVOOST,50.8465573,4.351697,artist,#3D348B
