artist_id,artwork_id,title,date,domaine,medium,type,picture_path
34,940,Livre 24 vases,1994,"Publication, livre, imprimé, Livre","Tirage laser, agrafé",ouvrage,images/940.jpg
34,941,Livre 8560 nombres qui ne servent pas à donner l'heure,1994,"Publication, livre, imprimé, Livre","Impression laser, dos carré collé",ouvrage,images/941.jpg
34,942,Livre Profils de célibataires,mai 1995,"Publication, livre, imprimé, Livre","Tirage offset une couleur, broché",ouvrage,images/942.jpg
34,943,Livre Singles,mai 1995,"Publication, livre, imprimé, Livre","Impression offset noir, broché",ouvrage,images/943.jpg
34,944,Livre Votre beauté,1995,"Publication, livre, imprimé, Livre",Photocopie agrafée,ouvrage,images/944.jpg
34,945,Livre 100 photos qui ne sont pas des photos de chevaux,1995,"Publication, livre, imprimé, Livre",Impression offset noir brochée,ouvrage,images/945.jpg
34,946,Livre Marabout,1996,"Publication, livre, imprimé, Livre",Impression offset noir brochée,ouvrage,images/946.jpg
34,947,Livre Prédictions,1996,"Publication, livre, imprimé, Livre","Broché, offset noir et blanc",ouvrage,images/947.jpg
34,948,Livre Mon Catalogue,1999,"Publication, livre, imprimé, Livre","Livre, couverture carton glacé",ouvrage,images/948.jpg
35,949,Livre A Training in The Arts,1972,"Publication, livre, imprimé, Livre",16 reproductions noir et blanc,ouvrage,images/949.jpg
35,950,Livre A Discourse on Domestic Disorder,1975,"Publication, livre, imprimé, Livre",,ouvrage,images/950.jpg
35,951,Livre Picture Fictions,1977,"Publication, livre, imprimé, Livre","24 reproductions noir et blanc, agrafées",ouvrage,images/951.jpg
35,952,Livre Interruptions in Lanscape and Logic,1977,"Publication, livre, imprimé, Livre",,ouvrage,images/952.jpg
36,953,Livre E Il Topo,1992 - 1996,"Publication, livre, imprimé, Livre",,ouvrage,images/953.jpg
37,954,Livre Untitled Conversation (Names),1995,"Publication, livre, imprimé, Livre","Encre sur papier, textes manuscrits et dactylographiés",ouvrage,images/954.jpg
37,955,Livre Untitled Conversation (Introductions),1995,"Publication, livre, imprimé, Livre","Encre sur papier, textes manuscrits et dactylographiés, cinq éléments",ouvrage,images/955.jpg
37,956,Livre Untitled Conversation (What is about ?),1995,"Publication, livre, imprimé, Livre",,ouvrage,images/956.jpg
37,957,Livre Untitled Conversation (Questions),1995,"Publication, livre, imprimé, Livre","Encre sur papier, textes manuscrits et dactylographiés, 11 éléments",ouvrage,images/957.jpg
37,958,Livre Untitled Conversation (The Christmas Party),1995,"Publication, livre, imprimé, Livre","Encre sur papier, textes manuscrits et dactylographiés, cinq éléments",ouvrage,images/958.jpg
29,959,Livre Polaroïd Portraits,1972 - 1977,"Publication, livre, imprimé, Livre","32 reproductions couleur, 1 noir et blanc, toile blanche (tome I), toile gris clair (tome II), toile gris foncé (tome III), jaquette imprimé",ouvrage,images/959.jpg
38,960,"Livre Plätze, Fotografische Topografie in einer Stadt z.B. Paris
(Places, Topographie photographique dans une ville Paris)",1997,"Publication, livre, imprimé, Livre","Carton, impression noir et plan sur papier",ouvrage,images/960.jpg
39,961,Gratuit,1979 - 1994,"Publication, livre, imprimé",Impression noir et blanc ou couleur sur papier couché ou sur carton,ouvrage,images/961.jpg
40,962,Livre 23 Pieces,1969,"Publication, livre, imprimé, Livre",,ouvrage,images/962.jpg
40,963,Livre 24 Pieces,1970,"Publication, livre, imprimé, Livre",,ouvrage,images/963.jpg
40,964,Livre Greatings from L.A.,1972,"Publication, livre, imprimé, Livre","Papier, carton",ouvrage,images/964.jpg
41,965,Cahier Dispositif n°2 (environnement),fin 1989,"Publication, livre, imprimé, Cahier",,ouvrage,images/965.jpg
42,966,Livre n° 7,vers 1980,"Publication, livre, imprimé, Livre","Parchemin, encre sur papier",ouvrage,images/966.jpg
43,967,Traveling Salesman,2006,"Publication, livre, imprimé","Aluminium, bois, mélamine, carton, bande adhésive, boutons, éditions de l'artiste",ouvrage,images/967.jpg
44,968,Livre Ici en deux,1982,"Publication, livre, imprimé, Livre","Ouvrage de 48 pages comprenant 7 estampes illustrant un poème d'André du Bouchet
Aquatinte et pointe sèche sur papier pur chiffon",ouvrage,images/968.jpg
45,969,One Billion Colored Dots,2008,"Publication, livre, imprimé, Livre","25 volumes dénombrant un milliard de points colorés pour un total de 40 000 000 points par volume et 4 000 points par page.
Offset sur papier",ouvrage,images/969.jpg
45,970,Somethings that ...,2016,"Publication, livre, imprimé",Set de trois feuillets dans une pochette cartonnée contenant deux Statements communs (à chaque set de ce tirage de 24) + un statement spécifique à ce set.,ouvrage,images/970.jpg
46,971,Livre Picabia en Dé Pose,2003,"Publication, livre, imprimé, Livre","L'ouvrage se compose de quarante planches dont dix présentent une photographie couleur [n°29 à 38] et une, une photographie noir et blanc [n°39].
",ouvrage,images/971.jpg
47,972,[Variations formelles],1988 - 1989,"Publication, livre, imprimé, Cahier","Publication, livre, imprimé, Cahier
Carnet de recherche et de croquis avec spirales
Crayon, feutre, peinture, collage sur papier, photographie",ouvrage,images/972.jpg
47,973,[DuChamp Stérile],2016 - 2017,"Publication, livre, imprimé, Cahier","Publication, livre, imprimé, Cahier
Carnet bleu de recherche et de croquis
Crayon, encre, collage, feutre, peinture et tissu sur papier",ouvrage,images/973.jpg
47,974,[OxyComptines],2016,"Publication, livre, imprimé, Cahier","Publication, livre, imprimé, Cahier
Carnet noir de recherche et de croquis
Peinture, crayon et comprimé sur papier",ouvrage,images/974.jpg
48,975,Moules Oeufs Frites Pots Charbon,1966,"Publication, livre, imprimé","Publication, livre, imprimé
Carton d'invitation, deux volets
Impression noire",ouvrage,images/975.jpg
49,976,Vigies,1962,"Publication, livre, imprimé","Publication, livre, imprimé
Suite de 5 estampes accompagnant un poème de Tristan Tzara
Eau-forte en couleur sur Japon ancien
Emboîtage cartonné",ouvrage,images/976.jpg
49,977,Querelle des Etats,1973,"Publication, livre, imprimé","Suite de 5 gravures en couleur en forme de triptyques sur lesquels se superpose le texte de Michel Butor
7 planches (2 de textes + 5 de gravures) avec couverture papier dans coffret en carton toilé",ouvrage,images/977.jpg
50,978,"L'Education sentimentale, copie",1986,"Publication, livre, imprimé","Catalogue de l'exposition ""L'Education sentimentale, copie"", Paris, Bibliothèque Nationale, novembre 1985,
numéroté et signé",ouvrage,images/978.jpg
50,979,Programme de spectacle La Maîtrise de la Chute du Feutre de l'Etouffoir,1990,"Publication, livre, imprimé, Programme de spectacle","Livret comprenant 2 images de G.C-T coloriées par l'artiste
Impression et crayon de couleur sur papier",ouvrage,images/979.jpg
51,980,Livre L'autre (Notes),1985,"Publication, livre, imprimé, Livre",,ouvrage,images/980.jpg
52,981,Iris Time n°21,12 octobre 1965,"Publication, livre, imprimé, Périodique","Publication, livre, imprimé, Périodique
4 pages pliées
Offset noir et blanc",ouvrage,images/981.jpg
53,982,A Primer of Happenings & Time/Space Art,1965,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
145 pages reliées, reliure toile éditeur bleue, illustration noire et blanc
Impression noire",ouvrage,images/982.jpg
54,983,"North American Time Zone Photo V.S.I. Simultaneity, 18 oct. 1970",1970,"Publication, livre, imprimé, Portfolio","Publication, livre, imprimé, Portfolio
Portfolio cartonné contenant 18 planches sérigraphiées,",ouvrage,images/983.jpg
55,984,Some Recent Happenings,1966,"Publication, livre, imprimé","Publication, livre, imprimé
Livret 14 pages agrafées
Impression noire sur papier de couleur",ouvrage,images/984.jpg
56,985,Aquatintes,15 novembre 1974,"Publication, livre, imprimé, Portfolio","Publication, livre, imprimé, Portfolio
11 planches dont 8 aquatintes dans un coffret toilé marron à rabats
Aquatinte sur papier",ouvrage,images/985.jpg
57,986,By Alison Knowles,1965,"Publication, livre, imprimé","Publication, livre, imprimé
Livret 14 pages agrafées
Impression noire sur papier de couleur",ouvrage,images/986.jpg
57,987,More,1979,"Publication, livre, imprimé","Publication, livre, imprimé
Livret [38 pages] non paginées agrafées
Impression noire sur papier brun",ouvrage,images/987.jpg
58,988,Livre Le Récit,1972,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
[16 pages] agrafées, 12 illustrations en noir et blanc
Impression noire",ouvrage,images/988.jpg
59,989,Calendrier [cneai 2012-2013],2012 - 2013,"Publication, livre, imprimé, Calendrier",,ouvrage,images/989.jpg
59,990,Calendrier Le musée éphémère - emménagement #6 - La Roche-Guyon 2012,2012,"Publication, livre, imprimé, Calendrier",,ouvrage,images/990.jpg
59,991,Calendrier [cneai 2013-2014],2013 - 2014,"Publication, livre, imprimé, Calendrier",,ouvrage,images/991.jpg
60,992,Obscur objet de plaisir,2016,"Publication, livre, imprimé",,ouvrage,images/992.jpg
61,993,The Twin Plays,1966,"Publication, livre, imprimé",,ouvrage,images/993.jpg
62,994,Livre Flux Paper Events,1976,"Publication, livre, imprimé, Livre","Livre d'artiste comprenant différents ""évènements"" avec le papier, maculé, froissé, déchiré, agrafé, collé, plié...
[24] pages agrafées, couverture souple",ouvrage,images/994.jpg
63,995,Périodique Déjà vu n°0,janvier 1981,"Publication, livre, imprimé, Périodique",,ouvrage,images/995.jpg
63,996,Périodique Déjà vu n°1,mars 1981,"Publication, livre, imprimé, Périodique","Publication, livre, imprimé, Périodique
Page de couverture : photo noir et blanc de Ronald Reagan (Gamma)
Impression offset noir et blanc et quadrichromie",ouvrage,images/996.jpg
63,997,Périodique Déjà vu n°2,avril 1981,"Publication, livre, imprimé, Périodique","Publication, livre, imprimé, Périodique
Page de couverture : Louis Acaries par Patrick Arlet
Impression offset noir et blanc et quadrichromie",ouvrage,images/997.jpg
63,998,"Gala de l'APAC / Pleyel, 14 avril 1982",14 avril 1982,"Publication, livre, imprimé","Publication, livre, imprimé
Cahier de [68 pages]
Page de couverture : ""Clarinette molle"" de Raymond Devos
Impression noir et blanc et couleur",ouvrage,images/998.jpg
63,999,Programme des travaux que j'effectuerai dans la chapelle,24 mars 1983,"Publication, livre, imprimé","Publication, livre, imprimé
Programme, tapuscrit
Impression noire sur papier rouge encadré sous verre",ouvrage,images/999.jpg
